"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.759532960E-1,3.041875660E-1,1.417448282E0,3.933501244E0
4.783491810E-1,-1.435693651E-1,1.541875124E0,3.794717550E0
4.807442330E-1,-5.769693851E-1,1.678265929E0,3.689433336E0
4.831393380E-1,-1.031904817E0,1.857727647E0,3.667897940E0
4.855352230E-1,-1.412662625E0,2.042274237E0,3.682255030E0
4.879311080E-1,-1.733300924E0,2.178664923E0,3.737289906E0
4.903261610E-1,-2.008774519E0,2.303091764E0,3.837788343E0
4.927212650E-1,-2.389233351E0,2.420340061E0,3.950251102E0
4.951171500E-1,-2.755634308E0,2.506481647E0,4.026821613E0
4.975129830E-1,-3.042773008E0,2.557030201E0,4.134498596E0
4.999080880E-1,-3.277568817E0,2.557030201E0,4.240081787E0
5.023031920E-1,-3.562314749E0,2.518445730E0,4.261617184E0
5.046990770E-1,-3.821038723E0,2.391626120E0,4.326223373E0
5.070949110E-1,-4.010071754E0,2.188236237E0,4.299902439E0
5.094899630E-1,-4.019642830E0,2.142772675E0,4.146462440E0
5.118850670E-1,-4.053142548E0,2.140379906E0,3.864109516E0
5.142810040E-1,-3.986143351E0,2.104487419E0,3.602992773E0
5.166768380E-1,-3.828217030E0,2.044667006E0,3.299104214E0
5.190718900E-1,-3.526422262E0,1.943869352E0,3.016452074E0
5.214669940E-1,-3.239283562E0,1.762014747E0,2.714956284E0
5.238628790E-1,-2.901596546E0,1.525125384E0,2.516052961E0
5.262587650E-1,-2.530709028E0,1.268794179E0,2.315055847E0
5.286538170E-1,-2.164308071E0,9.433703423E-1,2.183450699E0
5.310489210E-1,-1.785943031E0,6.032904387E-1,2.097309113E0
5.334448060E-1,-1.273579836E0,2.249253243E-1,2.178664923E0
5.358406920E-1,-5.315057039E-1,-2.775674164E-1,2.568994284E0
5.382357440E-1,2.874378264E-1,-7.325028181E-1,3.059522867E0
5.406308480E-1,9.290133715E-1,-9.816554785E-1,3.406781197E0
5.430267330E-1,1.177866936E0,-1.187438250E0,4.139284134E0
5.454226190E-1,8.066803217E-1,-1.453340650E0,6.772884369E0
5.478176710E-1,1.015154958E0,-1.706979871E0,1.068963623E1
5.502127750E-1,1.661516190E0,-2.126022816E0,1.227697468E1
5.526086610E-1,2.212164640E0,-2.767598391E0,1.106800079E1
5.550044940E-1,2.712563515E0,-3.464209080E0,9.576375008E0
5.573995980E-1,3.004487991E0,-4.093820572E0,8.961120605E0
5.597947020E-1,3.117249727E0,-4.692325115E0,8.910871506E0
5.621905880E-1,3.064308405E0,-5.204688549E0,9.030512810E0
5.645864210E-1,2.937488794E0,-5.640480995E0,8.987442017E0
5.669814730E-1,2.834597588E0,-6.054738522E0,8.702695847E0
5.693765770E-1,2.813062191E0,-6.423233509E0,8.360222816E0
5.717725150E-1,2.863311291E0,-6.787241459E0,8.053643227E0
5.741683480E-1,2.925524712E0,-7.105785847E0,7.847859859E0
5.765634000E-1,2.896811008E0,-7.407281399E0,7.733004570E0
5.789585040E-1,2.781955481E0,-7.656434059E0,7.694719315E0
5.813543900E-1,2.638386011E0,-7.907680511E0,7.584649563E0
5.837502750E-1,2.472982168E0,-8.231010437E0,7.347461224E0
5.861453270E-1,2.348555326E0,-8.530113220E0,6.923632145E0
5.885404310E-1,2.312663078E0,-8.784051895E0,6.430411816E0
5.909363170E-1,2.295913219E0,-8.903693199E0,5.923133373E0
5.933322020E-1,2.341377020E0,-9.004191399E0,5.410770416E0
5.957272540E-1,2.429911375E0,-9.030512810E0,4.829015255E0
5.981223580E-1,2.504088879E0,-9.011369705E0,4.254438877E0
6.005182440E-1,2.616850615E0,-8.941978455E0,3.598206997E0
6.029141290E-1,2.717349291E0,-8.874979019E0,2.978166819E0
6.053091810E-1,2.786741018E0,-8.827122688E0,2.195414782E0
6.077042860E-1,2.935096025E0,-8.618648529E0,1.738086581E0
6.101001710E-1,3.138785124E0,-8.271688461E0,1.513161182E0
6.124960040E-1,3.351746321E0,-7.917252064E0,1.431805253E0
6.148911080E-1,3.600599766E0,-7.524529934E0,1.402792215E0
6.172862130E-1,3.864109516E0,-7.112964630E0,1.486840129E0
6.196820980E-1,4.203890324E0,-6.708278179E0,1.762014747E0
6.220779310E-1,4.441078663E0,-6.377769470E0,1.857727647E0
6.244729830E-1,4.673182487E0,-6.097809315E0,1.884048700E0
