"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.834315833E0,1.187480621E0,-1.089688980E1,1.885030060E0
2.844267833E0,1.336720276E0,-1.124222168E1,1.831740875E0
2.854218833E0,1.401685181E0,-1.129311584E1,1.823507996E0
2.864170833E0,1.403182068E0,-1.078103073E1,1.692829742E0
2.874121833E0,1.554667053E0,-1.008842102E1,1.617686005E0
2.884072833E0,1.638492737E0,-9.458680573E0,1.683099976E0
2.894024833E0,1.652264099E0,-8.948541412E0,1.866917725E0
2.903975833E0,1.649569702E0,-8.517737274E0,2.018552399E0
2.913927833E0,1.681902466E0,-8.271349640E0,2.164199524E0
2.923878833E0,1.717079315E0,-8.318501587E0,2.232457581E0
2.933829833E0,1.764680328E0,-8.683891754E0,2.215542755E0
2.943781833E0,1.876946869E0,-9.193881226E0,2.254312134E0
2.953732833E0,1.990410919E0,-9.581125946E0,2.300266571E0
2.963683833E0,2.113904114E0,-9.882898407E0,2.357597351E0
2.973635833E0,2.263742523E0,-1.005369324E1,2.464026031E0
2.983586833E0,2.473007355E0,-1.012255005E1,2.593357086E0
2.993537833E0,2.650837555E0,-1.002869522E1,2.680924988E0
3.003489833E0,2.743794250E0,-9.814340973E0,2.714604950E0
3.013440833E0,2.789299622E0,-9.532926178E0,2.742596741E0
3.023392833E0,2.805316315E0,-9.311686249E0,2.771636353E0
3.033343833E0,2.752326508E0,-9.167086945E0,2.772833862E0
3.043294833E0,2.685565338E0,-9.102720795E0,2.800077209E0
3.053246833E0,2.558180237E0,-9.083860016E0,2.801274719E0
3.063197833E0,2.415227509E0,-9.123078461E0,2.791544952E0
3.073148833E0,2.279609528E0,-9.176517334E0,2.717449036E0
3.083100833E0,2.149380341E0,-9.238787842E0,2.651436310E0
3.093051833E0,2.026485901E0,-9.318122864E0,2.603535919E0
3.103003833E0,1.914818115E0,-9.336534576E0,2.543061676E0
3.112954833E0,1.850302277E0,-9.327553253E0,2.527943115E0
3.122906083E0,1.785487061E0,-9.318422241E0,2.484084320E0
3.132858083E0,1.718875580E0,-9.273365936E0,2.475402374E0
3.142809083E0,1.656754761E0,-9.196725311E0,2.448159027E0
3.152761083E0,1.524429932E0,-9.106313324E0,2.334245911E0
3.162712083E0,1.368903351E0,-9.076525269E0,2.240840149E0
3.172663083E0,1.237326965E0,-9.118587799E0,2.174677734E0
3.182615083E0,1.193917236E0,-9.198820953E0,2.181713104E0
3.192566083E0,1.069226532E0,-9.308842163E0,2.132166138E0
3.202518083E0,9.244775391E-1,-9.448202362E0,2.044149170E0
3.212469083E0,7.963439941E-1,-9.523944855E0,2.003583527E0
3.222420083E0,6.557862854E-1,-9.551936646E0,1.979932709E0
3.232372083E0,5.801934814E-1,-9.519005127E0,2.034718781E0
3.242323083E0,5.563929749E-1,-9.496402130E0,2.060614929E0
3.252274083E0,5.548960876E-1,-9.490863647E0,2.045496368E0
3.262226083E0,5.502557373E-1,-9.501790924E0,2.009571075E0
3.272177083E0,5.297483826E-1,-9.503138123E0,1.971400452E0
3.282129083E0,5.084925842E-1,-9.490115204E0,1.979034576E0
3.292080083E0,5.016069031E-1,-9.485325165E0,2.022743683E0
3.302031083E0,5.586383057E-1,-9.459429016E0,2.060465240E0
3.311983083E0,7.005432129E-1,-9.454788666E0,2.105970612E0
3.321934083E0,8.424481201E-1,-9.486822052E0,2.160606995E0
3.331886083E0,9.732760620E-1,-9.558522949E0,2.208657074E0
3.341837083E0,1.076261902E0,-9.647288361E0,2.214345245E0
3.351788083E0,1.123114471E0,-9.688003693E0,2.207010498E0
3.361740083E0,1.163829803E0,-9.699679413E0,2.206860809E0
3.371691083E0,1.178199921E0,-9.678722992E0,2.199226685E0
3.381642083E0,1.158890076E0,-9.637259216E0,2.211501160E0
3.391594083E0,1.159189453E0,-9.566905518E0,2.275567932E0
3.401545083E0,1.271006927E0,-9.473350067E0,2.320324860E0
3.411497083E0,1.380579071E0,-9.371711426E0,2.301015015E0
3.421448083E0,1.462458801E0,-9.307944031E0,2.283651123E0
3.431399083E0,1.474433899E0,-9.273815002E0,2.230361938E0
3.441351083E0,1.505269775E0,-9.277407532E0,2.228266296E0
3.451302083E0,1.516945496E0,-9.280550995E0,2.240690460E0
3.461254083E0,1.506616974E0,-9.304950256E0,2.329455872E0
3.471205083E0,1.478026428E0,-9.373956757E0,2.389780426E0
3.481156083E0,1.414857788E0,-9.436975708E0,2.371368713E0
3.491108083E0,1.327589264E0,-9.469907227E0,2.327958984E0
3.501059083E0,1.243763580E0,-9.461225281E0,2.335144043E0
3.511011083E0,1.231638794E0,-9.435927887E0,2.362836456E0
3.520962083E0,1.249002686E0,-9.416318665E0,2.349663849E0
3.530913083E0,1.279688873E0,-9.398056641E0,2.358495483E0
3.540865083E0,1.303190002E0,-9.366921387E0,2.349364471E0
3.550816083E0,1.311722260E0,-9.338480530E0,2.345472565E0
3.560768083E0,1.329535217E0,-9.353898468E0,2.378254395E0
3.570719083E0,1.334624634E0,-9.392069092E0,2.396366730E0
3.580670083E0,1.307231598E0,-9.446406097E0,2.412682800E0
3.590622083E0,1.273102570E0,-9.463021545E0,2.411335602E0
3.600573083E0,1.223106537E0,-9.444160767E0,2.391726379E0
3.610524083E0,1.180295563E0,-9.441166992E0,2.391876068E0
3.620476083E0,1.181193695E0,-9.442065125E0,2.406246185E0
3.630427083E0,1.205892334E0,-9.441915436E0,2.390079803E0
3.640379083E0,1.229692841E0,-9.452842712E0,2.377655640E0
3.650330083E0,1.248403931E0,-9.437424774E0,2.381248169E0
3.660281083E0,1.267115021E0,-9.421707458E0,2.404599609E0
3.670233083E0,1.285975800E0,-9.390422516E0,2.420466614E0
3.680184083E0,1.297052765E0,-9.354796600E0,2.432441711E0
3.690136083E0,1.296753387E0,-9.314081268E0,2.423610077E0
3.700087083E0,1.327140198E0,-9.298663330E0,2.410587158E0
3.710038083E0,1.367406464E0,-9.331594849E0,2.407743073E0
3.719990083E0,1.396595764E0,-9.362730103E0,2.395618286E0
3.729941083E0,1.392105103E0,-9.387728119E0,2.416125641E0
3.739893083E0,1.380279694E0,-9.400900726E0,2.432741089E0
3.749844083E0,1.384470978E0,-9.408684540E0,2.397414551E0
3.759795083E0,1.397344208E0,-9.415420532E0,2.388133850E0
3.769747083E0,1.382974091E0,-9.419761505E0,2.374063110E0
3.779698083E0,1.359772339E0,-9.417366486E0,2.389181671E0
3.789650083E0,1.342707825E0,-9.415270844E0,2.405946808E0
3.799601083E0,1.328637085E0,-9.414073334E0,2.406695251E0
3.809552083E0,1.338815918E0,-9.424252167E0,2.405348053E0
3.819504083E0,1.353335724E0,-9.426497498E0,2.408790894E0
3.829455083E0,1.347198486E0,-9.410630493E0,2.405048676E0
3.839407083E0,1.332229614E0,-9.404493256E0,2.406246185E0
3.849358083E0,1.302740936E0,-9.382489014E0,2.395767975E0
3.859309083E0,1.256487122E0,-9.389674072E0,2.401306458E0
3.869261083E0,1.220412140E0,-9.386979675E0,2.400707703E0
3.879212083E0,1.214424591E0,-9.389823761E0,2.379002838E0
3.889164083E0,1.221759338E0,-9.384434967E0,2.350711670E0
3.899115083E0,1.216669922E0,-9.359137573E0,2.328707428E0
3.909066083E0,1.227297821E0,-9.347910919E0,2.339035950E0
3.919018083E0,1.253343658E0,-9.356892242E0,2.367776184E0
3.928969083E0,1.288670197E0,-9.385931854E0,2.424807587E0
3.938921083E0,1.319655762E0,-9.416917419E0,2.487377472E0
3.948872083E0,1.390458527E0,-9.444310455E0,2.509531403E0
3.958823083E0,1.463057556E0,-9.429640961E0,2.486329651E0
3.968775083E0,1.495390320E0,-9.401798859E0,2.434537354E0
3.978726083E0,1.512454834E0,-9.366622009E0,2.374512177E0
3.988678083E0,1.483864288E0,-9.354048157E0,2.365830231E0
3.998629083E0,1.436113586E0,-9.353898468E0,2.393971710E0
4.008580083E0,1.401385803E0,-9.347611542E0,2.409838715E0
4.018532083E0,1.382075958E0,-9.353000336E0,2.442770233E0
4.028483083E0,1.383572845E0,-9.363328857E0,2.431244202E0
4.038435083E0,1.398990784E0,-9.363328857E0,2.443967743E0
4.048386083E0,1.416354675E0,-9.344318390E0,2.442470856E0
4.058337083E0,1.451232147E0,-9.343120880E0,2.467468872E0
4.068289083E0,1.513502655E0,-9.386680298E0,2.496209106E0
