"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.440193708E0,1.361269226E0,-9.412426758E0,1.721719666E0
2.450145833E0,1.706900482E0,-9.859247589E0,8.039781189E-1
2.460097833E0,2.098935242E0,-1.021580612E1,4.950205994E-1
2.470050833E0,2.356848907E0,-1.099792969E1,2.884501648E-1
2.480002833E0,2.521506500E0,-1.044707520E1,8.181985474E-1
2.489954833E0,2.748883667E0,-9.555978241E0,8.804690552E-1
2.499906833E0,2.511477356E0,-8.387957153E0,4.637356567E-1
2.509858833E0,2.111509094E0,-7.714657288E0,6.881190491E-1
2.519810833E0,1.762884064E0,-7.458240509E0,1.015188904E0
2.529762833E0,1.573677521E0,-6.592740326E0,1.483115845E0
2.539714833E0,6.712042236E-1,-6.822063446E0,1.888772278E0
2.549666833E0,2.372566223E-1,-7.174430695E0,1.711840210E0
2.559618833E0,1.532812500E-1,-7.615263977E0,2.293979645E0
2.569570833E0,3.100053406E-1,-7.434440002E0,2.274370422E0
2.579522833E0,5.864804077E-1,-6.348298645E0,4.743635559E-1
2.589475833E0,1.591041412E0,-5.527854767E0,3.607498169E-2
2.599427833E0,2.406096497E0,-4.735252991E0,1.990859985E-1
2.609379833E0,2.231559448E0,-3.882775726E0,3.357518005E-1
2.619331833E0,2.118993530E0,-4.055516510E0,1.302740936E0
2.629283833E0,2.346969452E0,-4.311184845E0,1.928439789E0
2.639235833E0,2.282603302E0,-3.107986908E0,1.660946045E0
2.649187833E0,2.823877716E0,-1.231040039E0,2.646945648E0
2.659139833E0,2.702330475E0,-4.285588074E-1,2.054028625E0
2.669091833E0,1.262175293E0,-1.844015350E0,6.012995911E-1
2.679043833E0,-6.222560120E-1,-5.412744141E0,-5.752537537E-1
2.688995833E0,-7.514373779E-2,-1.062370789E1,2.687960358E0
2.698947833E0,7.411238251E0,-3.131009033E1,6.177952881E0
2.708900833E0,8.499475250E0,-3.912518875E1,1.086410797E1
2.718852833E0,1.586101685E0,-2.084160965E1,4.810995483E-1
2.728804833E0,-2.636018372E-1,-1.442684921E1,-2.634371796E0
2.738756833E0,2.495610352E0,-1.665436707E1,2.639012146E-1
2.748708833E0,2.824626160E0,-1.730730927E1,1.752106476E0
2.758660833E0,2.129471741E0,-1.509356277E1,6.008505249E-1
2.768612833E0,3.339405670E0,-1.568468353E1,-1.444047089E0
2.778564833E0,3.269800415E0,-1.480960327E1,-1.156644745E0
2.788516833E0,1.001567230E0,-1.153890472E1,-3.510200500E-1
2.798468833E0,-1.085991669E0,-7.642806702E0,9.744735718E-1
2.808420833E0,-1.264720001E0,-3.992347870E0,2.429148560E0
2.818372833E0,5.194198608E-2,-4.107308807E0,3.960613861E0
2.828325833E0,1.280587006E0,-5.384003906E0,4.491110687E0
2.838277833E0,2.002535706E0,-7.190297699E0,3.654500427E0
2.848229833E0,1.471739502E0,-7.316634979E0,2.609224091E0
2.858181833E0,2.108215942E0,-8.077203369E0,2.261497192E0
2.868133833E0,2.167492676E0,-8.515491943E0,1.851350098E0
2.878085833E0,2.361189880E0,-9.028475189E0,2.131118317E0
2.888037833E0,2.899620209E0,-9.883048096E0,2.034419403E0
2.897989833E0,2.534379730E0,-1.008887009E1,1.452429657E0
2.907941833E0,2.144290924E0,-1.026041336E1,1.161135406E0
2.917893833E0,2.227218475E0,-1.036803955E1,1.067430267E0
2.927845833E0,2.292183380E0,-1.013721954E1,1.176253967E0
2.937798833E0,2.257605286E0,-9.843081207E0,1.502575378E0
2.947750833E0,2.137854309E0,-9.404044189E0,2.103126526E0
2.957702833E0,2.075883179E0,-9.100924530E0,2.628983002E0
2.967654833E0,1.968556366E0,-8.960366821E0,2.790497131E0
2.977606833E0,2.040107574E0,-8.946445770E0,2.625240784E0
2.987558833E0,2.257156219E0,-9.035211182E0,2.245630188E0
2.997510833E0,2.499202881E0,-9.101672974E0,2.045047302E0
3.007462833E0,2.613565063E0,-9.183552704E0,2.005679169E0
3.017414833E0,2.672542419E0,-9.271569672E0,2.077529755E0
3.027366833E0,2.657573547E0,-9.273066559E0,2.058519287E0
3.037318833E0,2.697390747E0,-9.266330566E0,2.065404968E0
3.047271833E0,2.734812927E0,-9.287137299E0,2.113005981E0
3.057223833E0,2.768492889E0,-9.260043640E0,2.242636414E0
3.067175833E0,2.797382812E0,-9.194629669E0,2.413431244E0
3.077127833E0,2.850222931E0,-9.145232391E0,2.567460938E0
3.087079833E0,2.840642853E0,-9.116791534E0,2.642754364E0
3.097031833E0,2.716999969E0,-9.150321808E0,2.661465454E0
3.106983833E0,2.538121948E0,-9.178163910E0,2.553090820E0
3.116935833E0,2.381846924E0,-9.165290680E0,2.386786652E0
3.126887833E0,2.411934357E0,-9.163344727E0,2.173629913E0
3.136839833E0,2.330204315E0,-9.136700134E0,1.882784729E0
3.146791833E0,2.142045593E0,-9.093140717E0,2.733166351E0
3.156744833E0,2.180066528E0,-8.961714020E0,2.801574097E0
3.166696833E0,2.433190155E0,-9.042246552E0,2.409838715E0
3.176648833E0,2.568359070E0,-9.176667023E0,2.313888245E0
3.186600833E0,2.575095062E0,-9.305848389E0,2.506687317E0
3.196552833E0,2.593656464E0,-9.339678040E0,2.747237091E0
3.206504833E0,2.546654205E0,-9.368717651E0,2.774630127E0
3.216456833E0,2.477348328E0,-9.281449127E0,2.656675415E0
3.226408833E0,2.435884552E0,-9.227860565E0,2.529290314E0
3.236360833E0,2.420466614E0,-9.193432159E0,2.490371246E0
3.246312833E0,2.456541595E0,-9.142238617E0,2.568508759E0
3.256265833E0,2.481090546E0,-9.120982819E0,2.624791718E0
3.266217833E0,2.521656189E0,-9.130712585E0,2.634671173E0
3.276169833E0,2.567161560E0,-9.138047333E0,2.609822845E0
3.286121833E0,2.578388214E0,-9.179361420E0,2.511028290E0
3.296073833E0,2.546055450E0,-9.224118347E0,2.386337585E0
3.306025833E0,2.441722412E0,-9.334139557E0,2.198178864E0
3.315977833E0,2.211650848E0,-9.439221039E0,2.073488159E0
3.325929833E0,1.921853485E0,-9.478589172E0,1.993704071E0
3.335881833E0,1.705253906E0,-9.549541626E0,1.876497803E0
3.345833833E0,1.627116394E0,-9.562414856E0,1.908680878E0
3.355786833E0,1.482517090E0,-9.483229523E0,1.903142395E0
3.365738833E0,1.299896851E0,-9.528285828E0,1.713187408E0
3.375690833E0,1.159937897E0,-9.547445984E0,1.725312195E0
3.385642833E0,1.074765015E0,-9.490264893E0,1.670526123E0
3.395594833E0,1.053958282E0,-9.421557770E0,1.552571411E0
3.405546833E0,1.069825287E0,-9.409582672E0,1.411714325E0
3.415498833E0,1.012045441E0,-9.454040222E0,1.349593506E0
3.425450833E0,9.107061768E-1,-9.482032013E0,1.359772339E0
3.435402833E0,8.705895996E-1,-9.538165283E0,1.446142731E0
3.445354833E0,9.618997192E-1,-9.582922211E0,1.519639893E0
3.455306833E0,1.106648712E0,-9.617200928E0,1.475332031E0
3.465258833E0,1.209484863E0,-9.711804199E0,1.430724792E0
3.475210833E0,1.242266693E0,-9.835297394E0,1.423240356E0
3.485162833E0,1.201102295E0,-9.905800781E0,1.516646118E0
3.495114833E0,1.208736420E0,-9.884095917E0,1.661544800E0
3.505066833E0,1.324296112E0,-9.812095642E0,1.730700989E0
3.515018833E0,1.567540283E0,-9.646090851E0,1.861828308E0
3.524970833E0,1.704804840E0,-9.482481079E0,1.874402161E0
3.534922833E0,1.773212585E0,-9.378297729E0,1.783990173E0
3.544874833E0,1.851948853E0,-9.271569672E0,1.892514496E0
3.554827833E0,1.873953094E0,-9.229357452E0,1.880689087E0
3.564779833E0,1.821412354E0,-9.223968658E0,1.978136444E0
3.574731833E0,1.779349823E0,-9.214089203E0,2.097438354E0
3.584683833E0,1.812730408E0,-9.244326324E0,2.203268280E0
3.594635833E0,1.860630798E0,-9.317075043E0,2.245480499E0
3.604587833E0,1.886526947E0,-9.401349792E0,2.189197540E0
3.614539833E0,1.825004883E0,-9.472751312E0,2.177222443E0
3.624491833E0,1.783990173E0,-9.460177460E0,2.242037659E0
3.634443833E0,1.787732391E0,-9.386231232E0,2.267035675E0
3.644395833E0,1.836830292E0,-9.340127106E0,2.173180847E0
3.654348833E0,1.883982239E0,-9.289083252E0,2.110012207E0
3.664300833E0,1.899400177E0,-9.280101929E0,2.014361115E0
3.674252833E0,1.878443756E0,-9.352102203E0,1.917961578E0
3.684204833E0,1.746717682E0,-9.443711700E0,1.952988739E0
3.694156833E0,1.577569427E0,-9.471703491E0,2.084116058E0
3.704108833E0,1.546583862E0,-9.438622284E0,2.178719330E0
3.714060833E0,1.616638184E0,-9.424252167E0,2.184257813E0
3.724012833E0,1.653311920E0,-9.405690765E0,2.124232635E0
3.733964833E0,1.659598846E0,-9.372908936E0,2.069596252E0
3.743917833E0,1.657802582E0,-9.359736328E0,2.035317535E0
3.753869833E0,1.687141571E0,-9.375004578E0,1.965562592E0
3.763821833E0,1.712289276E0,-9.410630493E0,1.873653717E0
